model_name,accuracy,precision,recall,f1_score,roc_auc,average_precision
XGBoost,0.7270788912579957,0.49198717948717946,0.820855614973262,0.6152304609218436,0.8410113319287057,0.652590698134525
Logistic Regression,0.7249466950959488,0.48929159802306427,0.7941176470588235,0.6055045871559633,0.8354191364128156,0.6188238696389226
Random Forest,0.7718550106609808,0.5629453681710214,0.6336898395721925,0.5962264150943396,0.8295331597392983,0.6248047404052331
